Release date,Product,Platform,Impact,Max Severity,Article,Article (Link),Download,Download (Link),Build Number,Details,Details (Link)
12-Aug-25,Microsoft Office LTSC 2021 for 64-bit editions,,Remote Code Execution,Critical,Click to Run,https://docs.microsoft.com/en-us/officeupdates/microsoft365-apps-security-updates,Security Update,,https://aka.ms/OfficeSecurityReleases,CVE-2025-53731,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53731
12-Aug-25,Microsoft Office LTSC for Mac 2021,,Remote Code Execution,Critical,Release Notes,https://go.microsoft.com/fwlink/p/?linkid=831049,Security Update,https://go.microsoft.com/fwlink/p/?linkid=831049,16.100.25081015,CVE-2025-53731,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53731
12-Aug-25,Microsoft 365 Apps for Enterprise for 64-bit Systems,,Remote Code Execution,Critical,Click to Run,https://docs.microsoft.com/en-us/officeupdates/office365-proplus-security-updates,Security Update,,https://aka.ms/OfficeSecurityReleases,CVE-2025-53731,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53731
12-Aug-25,Microsoft 365 Apps for Enterprise for 32-bit Systems,,Remote Code Execution,Critical,Click to Run,https://docs.microsoft.com/en-us/officeupdates/office365-proplus-security-updates,Security Update,,https://aka.ms/OfficeSecurityReleases,CVE-2025-53731,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53731
12-Aug-25,Microsoft Office 2019 for 64-bit editions,,Remote Code Execution,Critical,Click to Run,https://docs.microsoft.com/en-us/officeupdates/microsoft365-apps-security-updates,Security Update,,https://aka.ms/OfficeSecurityReleases,CVE-2025-53731,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53731
12-Aug-25,Microsoft Office 2019 for 32-bit editions,,Remote Code Execution,Critical,Click to Run,https://docs.microsoft.com/en-us/officeupdates/microsoft365-apps-security-updates,Security Update,,https://aka.ms/OfficeSecurityReleases,CVE-2025-53731,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53731
12-Aug-25,Microsoft SQL Server 2022 for x64-based Systems (CU 20),,Elevation of Privilege,Important,5063814,https://support.microsoft.com/help/5063814,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108324,16.0.4210.1,CVE-2025-47954,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-47954
12-Aug-25,Microsoft SQL Server 2022 for x64-based Systems (GDR),,Elevation of Privilege,Important,5063756,https://support.microsoft.com/help/5063756,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108325,16.0.1145.1,CVE-2025-47954,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-47954
12-Aug-25,Microsoft Dynamics 365 (on-premises) version 9.1,,Information Disclosure,Important,5064483,https://support.microsoft.com/help/5064483,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108332,9.1.39,CVE-2025-53728,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53728
12-Aug-25,Windows Server 2012 R2 (Server Core installation),,Elevation of Privilege,Important,5063950,https://support.microsoft.com/help/5063950,MonthlyRollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063950,6.3.9600.22725,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows Server 2012 R2,,Elevation of Privilege,Important,5063950,https://support.microsoft.com/help/5063950,MonthlyRollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063950,6.3.9600.22725,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows 10 Version 21H2 for ARM64-based Systems,,Elevation of Privilege,Important,5063709,https://support.microsoft.com/help/5063709,SecurityUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063709,10.0.19044.6216,CVE-2025-53725,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53725
12-Aug-25,Windows 10 Version 21H2 for 32-bit Systems,,Elevation of Privilege,Important,5063709,https://support.microsoft.com/help/5063709,SecurityUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063709,10.0.19044.6216,CVE-2025-53725,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53725
12-Aug-25,Windows Server 2022 (Server Core installation),,Elevation of Privilege,Important,5063880,https://support.microsoft.com/help/5063880,SecurityUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063880,10.0.20348.4052,CVE-2025-53725,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53725
12-Aug-25,Windows Server 2022 (Server Core installation),,Elevation of Privilege,Important,5063812,https://support.microsoft.com/help/5063812,SecurityHotpatchUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063812,10.0.20348.3989,CVE-2025-53725,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53725
12-Aug-25,Windows Server 2022,,Elevation of Privilege,Important,5063880,https://support.microsoft.com/help/5063880,SecurityUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063880,10.0.20348.4052,CVE-2025-53725,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53725
12-Aug-25,Windows Server 2022,,Elevation of Privilege,Important,5063812,https://support.microsoft.com/help/5063812,SecurityHotpatchUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063812,10.0.20348.3989,CVE-2025-53725,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53725
12-Aug-25,Windows Server 2019 (Server Core installation),,Elevation of Privilege,Important,5063877,https://support.microsoft.com/help/5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063877,10.0.17763.7678,CVE-2025-53725,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53725
12-Aug-25,Windows Server 2019,,Elevation of Privilege,Important,5063877,https://support.microsoft.com/help/5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063877,10.0.17763.7678,CVE-2025-53725,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53725
12-Aug-25,Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Important,5063877,https://support.microsoft.com/help/5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063877,10.0.17763.7678,CVE-2025-53725,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53725
12-Aug-25,Windows 10 Version 1809 for 32-bit Systems,,Elevation of Privilege,Important,5063877,https://support.microsoft.com/help/5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063877,10.0.17763.7678,CVE-2025-53725,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53725
12-Aug-25,Windows Server 2012 R2 (Server Core installation),,Elevation of Privilege,Important,5063950,https://support.microsoft.com/help/5063950,MonthlyRollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063950,6.3.9600.22725,CVE-2025-53724,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53724
12-Aug-25,Windows Server 2012 R2,,Elevation of Privilege,Important,5063950,https://support.microsoft.com/help/5063950,MonthlyRollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063950,6.3.9600.22725,CVE-2025-53724,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53724
12-Aug-25,Windows Server 2012 (Server Core installation),,Elevation of Privilege,Important,5063906,https://support.microsoft.com/help/5063906,MonthlyRollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063906,6.2.9200.25622,CVE-2025-53724,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53724
12-Aug-25,Windows Server 2012,,Elevation of Privilege,Important,5063906,https://support.microsoft.com/help/5063906,MonthlyRollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063906,6.2.9200.25622,CVE-2025-53724,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53724
12-Aug-25,Windows Server 2012 (Server Core installation),,Elevation of Privilege,Important,5063906,https://support.microsoft.com/help/5063906,MonthlyRollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063906,6.2.9200.25622,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows Server 2012,,Elevation of Privilege,Important,5063906,https://support.microsoft.com/help/5063906,MonthlyRollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063906,6.2.9200.25622,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows Server 2016 (Server Core installation),,Elevation of Privilege,Important,5063871,https://support.microsoft.com/help/5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063871,10.0.14393.8330,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows Server 2016,,Elevation of Privilege,Important,5063871,https://support.microsoft.com/help/5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063871,10.0.14393.8330,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows 10 Version 1607 for x64-based Systems,,Elevation of Privilege,Important,5063871,https://support.microsoft.com/help/5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063871,10.0.14393.8330,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows 10 Version 1607 for 32-bit Systems,,Elevation of Privilege,Important,5063871,https://support.microsoft.com/help/5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063871,10.0.14393.8330,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows 10 for x64-based Systems,,Elevation of Privilege,Important,5063889,https://support.microsoft.com/help/5063889,SecurityUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063889,10.0.10240.21100,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows 10 for 32-bit Systems,,Elevation of Privilege,Important,5063889,https://support.microsoft.com/help/5063889,SecurityUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063889,10.0.10240.21100,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows Server 2025,,Elevation of Privilege,Important,5063878,https://support.microsoft.com/help/5063878,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063878,10.0.26100.4946,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows Server 2025,,Elevation of Privilege,Important,5064010,https://support.microsoft.com/help/5064010,SecurityHotpatchUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5064010,10.0.26100.4851,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows 11 Version 24H2 for x64-based Systems,,Elevation of Privilege,Important,5063878,https://support.microsoft.com/help/5063878,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063878,10.0.26100.4946,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows 11 Version 24H2 for x64-based Systems,,Elevation of Privilege,Important,5064010,https://support.microsoft.com/help/5064010,SecurityHotpatchUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5064010,10.0.26100.4851,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows 11 Version 24H2 for ARM64-based Systems,,Elevation of Privilege,Important,5063878,https://support.microsoft.com/help/5063878,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063878,10.0.26100.4946,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows 11 Version 24H2 for ARM64-based Systems,,Elevation of Privilege,Important,5064010,https://support.microsoft.com/help/5064010,SecurityHotpatchUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5064010,10.0.26100.4851,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,"Windows Server 2022, 23H2 Edition (Server Core installation)",,Elevation of Privilege,Important,5063899,https://support.microsoft.com/help/5063899,SecurityUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063899,10.0.25398.1791,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Windows 11 Version 23H2 for x64-based Systems,,Elevation of Privilege,Important,5063875,https://support.microsoft.com/help/5063875,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063875,10.0.22631.5768,CVE-2025-53726,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53726
12-Aug-25,Teams for D365 Guides Hololens,,Remote Code Execution,Important,Release Notes,https://learn.microsoft.com/en-us/dynamics365/mixed-reality/guides/new#june-10-2025,Security Update,,907.2505.29001.0,CVE-2025-53783,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53783
12-Aug-25,Teams Phones,,Remote Code Execution,Important,Release Notes,https://learn.microsoft.com/en-us/microsoftteams/devices/devices-release-notes?tabs=phones#tabpanel_1_panels,Security Update,,1449/1.0.94.2025168802,CVE-2025-53783,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53783
12-Aug-25,Teams Panels,,Remote Code Execution,Important,Release Notes,https://learn.microsoft.com/en-us/microsoftteams/devices/devices-release-notes?tabs=panels#tabpanel_1_panels,Security Update,,1449/1.0.97.2025102203,CVE-2025-53783,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53783
12-Aug-25,Teams for D365 Remote Assist HoloLens,,Remote Code Execution,Important,Release Notes,https://learn.microsoft.com/en-us/dynamics365/mixed-reality/remote-assist/whats-new#june-10-2025,Security Update,,316.2505.28001,CVE-2025-53783,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53783
12-Aug-25,Windows Server 2025,,Elevation of Privilege,Moderate,5063878,https://support.microsoft.com/help/5063878,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063878,10.0.26100.4946,CVE-2025-53779,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53779
12-Aug-25,Windows Server 2025,,Elevation of Privilege,Moderate,5064010,https://support.microsoft.com/help/5064010,SecurityHotpatchUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5064010,10.0.26100.4851,CVE-2025-53779,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53779
12-Aug-25,Windows Server 2025 (Server Core installation),,Elevation of Privilege,Moderate,5063878,https://support.microsoft.com/help/5063878,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063878,10.0.26100.4946,CVE-2025-53779,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53779
12-Aug-25,Windows Server 2025 (Server Core installation),,Elevation of Privilege,Moderate,5064010,https://support.microsoft.com/help/5064010,SecurityHotpatchUpdate,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5064010,10.0.26100.4851,CVE-2025-53779,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53779
12-Aug-25,Windows Server 2012 R2 (Server Core installation),,Elevation of Privilege,Critical,5063950,https://support.microsoft.com/help/5063950,MonthlyRollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063950,6.3.9600.22725,CVE-2025-53778,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53778
12-Aug-25,Windows Server 2012 R2,,Elevation of Privilege,Critical,5063950,https://support.microsoft.com/help/5063950,MonthlyRollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5063950,6.3.9600.22725,CVE-2025-53778,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53778
